route,location_id,year,month,hour,day_of_week,is_weekend,is_rush_hour,temp_celsius,humidity_pct,precipitation_mm,wind_speed_kmh,visibility_km,is_rainy,is_heavy_rain,is_cold,is_hot,low_visibility,high_wind,weather_intensity,dir_E,dir_N,dir_S,dir_UNKNOWN,dir_W,is_major_delay,is_gapped_operational,is_bunching_operational
7,7,2022,9,8,6,1,1,15.0,96.0,0.2,13.0,16.1,1,0,0,0,0,0,1.75,0,0,1,0,0,0,0,1
7,12,2024,2,15,0,0,0,2.8,60.0,0.0,11.0,16.1,0,0,0,0,0,0,0.55,1,0,0,0,0,0,0,0
7,20,2023,5,12,0,0,0,7.4,83.0,0.0,15.0,16.1,0,0,0,0,0,0,0.75,0,0,0,1,0,0,0,0
7,20,2025,3,8,6,1,1,9.3,98.0,1.5,13.0,8.1,1,0,0,0,0,0,2.4,0,0,0,1,0,0,0,0
7,20,2025,4,8,6,1,1,4.9,61.0,0.0,15.0,16.1,0,0,0,0,0,0,0.75,0,0,0,1,0,0,1,0
7,20,2025,9,8,6,1,1,14.3,61.0,0.0,17.0,16.1,0,0,0,0,0,0,0.85,0,0,0,1,0,0,0,0
7,20,2025,11,8,6,1,1,5.1,90.0,0.0,11.0,16.1,0,0,0,0,0,0,0.55,0,0,0,1,0,0,0,0
7,20,2025,11,8,6,1,1,1.8,94.0,0.2,18.0,16.1,1,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0
7,20,2025,12,6,5,1,0,2.0,74.0,0.0,43.0,16.1,0,0,0,0,0,1,2.15,0,0,0,1,0,0,0,1
7,20,2026,3,8,6,1,1,10.9,73.0,0.0,17.0,16.1,0,0,0,0,0,0,0.85,0,0,1,0,0,0,0,0
7,21,2023,10,8,2,0,1,10.2,75.0,0.0,15.0,16.1,0,0,0,0,0,0,0.75,0,0,1,0,0,0,0,0
7,43,2022,4,11,0,0,0,12.6,72.0,0.0,15.0,16.1,0,0,0,0,0,0,0.75,0,1,0,0,0,0,0,0
7,43,2022,7,15,3,0,0,22.8,61.0,0.0,13.0,16.1,0,0,0,0,0,0,0.65,0,1,0,0,0,0,0,0
7,43,2022,11,22,4,0,0,5.0,73.0,0.0,18.0,16.1,0,0,0,0,0,0,0.9,0,1,0,0,0,0,0,0
7,43,2023,9,9,2,0,1,24.7,83.0,0.0,5.0,16.1,0,0,0,0,0,0,0.25,0,1,0,0,0,0,0,0
7,43,2023,10,22,2,0,0,11.3,81.0,0.0,8.0,16.1,0,0,0,0,0,0,0.4,0,1,0,0,0,0,0,0
7,43,2023,11,15,4,0,0,11.9,60.0,0.0,37.0,16.1,0,0,0,0,0,1,1.85,0,1,0,0,0,0,0,0
7,43,2025,1,14,2,0,0,3.4,64.0,0.0,28.0,16.1,0,0,0,0,0,0,1.4,0,1,0,0,0,0,0,0
7,44,2022,9,13,6,1,0,16.1,90.0,0.0,15.0,16.1,0,0,0,0,0,0,0.75,0,1,0,0,0,0,0,0
7,44,2023,1,16,3,0,1,3.3,91.0,0.0,9.0,16.1,0,0,0,0,0,0,0.45,0,1,0,0,0,1,1,0
7,44,2023,8,13,2,0,0,25.0,67.0,0.0,15.0,16.1,0,0,0,0,0,0,0.75,0,1,0,0,0,0,0,0
7,44,2023,11,13,2,0,0,10.0,68.0,0.0,17.0,16.1,0,0,0,0,0,0,0.85,0,1,0,0,0,0,0,0
7,44,2023,12,15,4,0,0,4.6,93.0,0.0,32.0,4.8,0,0,0,0,1,1,1.6,0,1,0,0,0,0,0,0
7,44,2024,4,18,0,0,1,8.6,67.0,0.0,18.0,16.1,0,0,0,0,0,0,0.9,0,1,0,0,0,0,0,0
7,44,2024,7,18,0,0,1,27.2,57.0,0.0,13.0,16.1,0,0,0,1,0,0,0.65,0,1,0,0,0,0,0,0
